Дата,URL,Коррупция,Взятка,Подкуп,Злоупотребление полномочиями,Непотизм,Бездействие,Конфликт интересов,Теневая экономика,Финансовые махинации,Противодействие коррупции,Транспарентность,Подотчетность,Мониторинг,Антикоррупционная политика,приговор,дело,Прозрачность финансирования,Теневые сделки,Откаты,Хищение,Родственник,расследуется,расследование,Лоббизм,Незаконное,обогащение,Контроль расходов,Проверки деятельности,подозреваемый,подоздревается,Аудит,Закупка,Электронное правительство,Похищение,Отмывание,Задержание,Рейдерство,тенге,долларов,доллары,Превышение власти,Задержали,Антикор,Агенство,Уголовный кодекс,Получение,незаконного,вознагражденияКонцепция,Преступление,средней тяжести,небольшой тяжести,Тяжкие,Особо тяжкие,Мошенничество,Легализация,миллиард,миллион,триллиард,Обогатился,Обогатились,судебный,процесс,аким,начальник,зам,заместитель,район,город,область,село,деревня,Аул,правонарушение,Антикора,Антикору,Антикором,Антикоре
03 октября 2019,https://tengrinews.kz/kazakhstan_news/obogatilis-na-elke-dlya-detey-chinovnikov-sudyat-v-atyirau-380608/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0
05 октября 2019,https://tengrinews.kz/kazakhstan_news/glava-upravleniya-zdravoohraneniya-atyirau-prodoljit-rabotat-380814/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0
10 июля 2020,https://tengrinews.kz/kazakhstan_news/oz-elnen-aksha-urlaganyin-maktan-tutadyi-nurtas-adambay-407857/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 июля 2023,https://tengrinews.kz/kazakhstan_news/jiteli-shu-obvinili-gibeli-dvuh-detey-korruptsiyu-506080/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
19 февраля 2019,https://tengrinews.kz/crime/zamglavyi-upravleniya-obrazovaniya-zaderjan-v-shyimkente-363540/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17 ноября 2023,https://tengrinews.kz/kazakhstan_news/17-noyabrya-glavnyie-novosti-kazahstana-za-5-minut-517287/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,1,1,1,1
02 октября 2020,https://tengrinews.kz/kazakhstan_news/video-zaderjaniya-auditorov-opublikovali-bortsyi-korruptsiey-415843/,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0
21 июля 2017,https://tengrinews.kz/events/skolko-sudey-osujdeno-kazahstane-rasskazali-genprokurature-322728/,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,4,0,0,0,9,2,0,5,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
10 октября 2019,https://tengrinews.kz/kazakhstan_news/poyavilos-video-zaderjaniya-nachalnika-shalkarskoy-381280/,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
30 ноября 2017,https://tengrinews.kz/crime/vzyatka-100-millionov-tenge-sud-vyines-prigovor-eks-332247/,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
05 сентября 2019,https://tengrinews.kz/kazakhstan_news/vitaminki-protiv-korruptsii-razdali-v-sko-378357/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,0,0,0,0
15 января 2024,https://tengrinews.kz/kazakhstan_news/myirzahmetov-predlagal-osvobodit-kayrata-boranbaeva-iz-pod-523233/,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
08 января 2024,https://tengrinews.kz/crime/zaderjanie-sotrudnikov-kazavtojola-dele-figuriruet-522548/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
"07 октября 2024, 14:39",https://tengrisport.kz/tnsport/antikor-otreagiroval-bespredel-ljesportsmenami-kazahstanskom-550228/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1
11 ноября 2019,https://tengrinews.kz/kazakhstan_news/byivshih-politseyskih-nachalnikov-osudili-korruptsiyu-383758/,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0
02 октября 2020,https://tengrinews.kz/world_news/protsess-po-delu-assanja-budet-dlitsya-godyi-i-godyi-advokat-415873/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 июля 2019,https://tengrinews.kz/crime/dtp-slujebnom-avto-sotrudnika-ohotzooproma-podozrevayut-372703/,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 февраля 2020,https://tengrinews.kz/kazakhstan_news/nazvanyi-samyie-korrumpirovannyie-akimatyi-391464/,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27 января 2017,https://tengrinews.kz/private_finance/polnostyu-otkazatsya-nalichnyih-deneg-kazahstane-predlojil-311001/,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 октября 2021,https://tengrinews.kz/crime/antikor-predlojil-ujestochit-nakazanie-podarki-451935/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,2,2,3,2
